problem,is_linear,method,num_steps,nfe,n_blocks,frequency,h_max,rms_error,max_cond,mean_amplification,rho,dtype,asymptotic
single_gaussian_d1,True,rx_L4,64,64,8.0,8.0,6.680472370310028,0.0059598249133592,716.0402510444897,7.601682453569879,7.0,float64,True
single_gaussian_d1,True,rx_naive,64,64,,,6.680472370310028,0.014150474480854,5.333333333333333,1.6666666666666663,7.0,float64,True
single_gaussian_d1,True,euler,96,96,,,4.485780005215673,0.0140525427679409,,,7.0,float64,True
single_gaussian_d1,True,heun,96,191,,,4.485780005215673,0.000752892942438,,,7.0,float64,True
single_gaussian_d1,True,rx_L2,96,96,12.0,8.0,4.485780005215673,0.0003670167969359,4.675959800864619,1.3034935144564643,7.0,float64,True
single_gaussian_d1,True,rx_L3,96,96,12.0,8.0,4.485780005215673,0.0042812626555443,77.99701770161587,3.7976776802388112,7.0,float64,True
single_gaussian_d1,True,rx_L4,96,96,12.0,8.0,4.485780005215673,0.0034379383470383,669.6788177966182,6.952766136955172,7.0,float64,True
single_gaussian_d1,True,rx_naive,96,96,,,4.485780005215673,0.0094244853783493,5.333333333333333,1.6666666666666663,7.0,float64,True
single_gaussian_d1,True,euler,128,128,,,3.376341919236438,0.0105531894491336,,,7.0,float64,True
single_gaussian_d1,True,heun,128,255,,,3.376341919236438,0.0004155175027055,,,7.0,float64,True
single_gaussian_d1,True,rx_L2,128,128,16.0,8.0,3.376341919236438,0.0001565951011732,4.770112729109516,1.30009963415712,7.0,float64,True
single_gaussian_d1,True,rx_L3,128,128,16.0,8.0,3.376341919236438,0.0023555754257913,85.34713072660495,3.7871163934233056,7.0,float64,True
single_gaussian_d1,True,rx_L4,128,128,16.0,8.0,3.376341919236438,0.0020607823252954,723.4311238449753,6.784721168579656,7.0,float64,True
single_gaussian_d1,True,rx_naive,128,128,,,3.376341919236438,0.0070669125066284,5.333333333333333,1.6666666666666663,7.0,float64,True
