rho,n_levels,frequency,cond,amplification,lambda_spread,sigma_hi,sigma_lo
9.0,4,8,579.8556125356033,6.5272711989808965,1.3660599698559306,79.99999999999997,53.567905321108356
9.0,5,16,7237.471361853618,7.598775564628108,1.9817547151363697,79.99999999999997,35.204112867755214
9.5,2,2,8.004092260952685,3.0020461304763426,1.0462688069032557,79.99999999999994,72.30700883584674
9.5,3,4,60.24851775381736,5.022095853207261,1.1461625498798984,79.99999999999994,65.28275256792564
9.5,4,8,580.1016601456105,6.5336189011400165,1.3795895996100753,79.99999999999994,53.036652674252096
9.5,5,16,7206.325585156042,7.617604366353321,2.0240607045688956,79.99999999999994,34.51339255382163
10.0,2,2,8.004333590371523,3.0021667951857616,1.0476448509218523,80.00000000000004,72.13876476914957
10.0,3,4,60.26311688918206,5.023394205182529,1.1506906683327638,80.00000000000004,64.97973143250154
10.0,4,8,580.338074116074,6.539722906787258,1.3923369284462297,80.00000000000004,52.54698839509397
10.0,5,16,7176.734697911694,7.635596413191511,2.0642830950462097,80.00000000000004,33.88403759890571
10.5,2,2,8.00456577279034,3.00228288639517,1.0489346360993335,79.99999999999997,71.98200398930499
10.5,3,4,60.27715753446808,5.024642923860668,1.1549440595726606,79.99999999999997,64.69814979130234
10.5,4,8,580.5650456186851,6.545587512439963,1.4043620665171532,79.99999999999997,52.09440650966738
10.5,5,16,7148.633463229053,7.652781430228693,2.1025468708075383,79.99999999999997,33.308549569334716
11.0,2,2,8.00478901367835,3.002394506839175,1.0501455961384774,80.0,71.83563477615883
11.0,3,4,60.290652793873114,5.025843170617196,1.1589455215610642,80.0,64.43589417006307
11.0,4,8,580.7828398311742,6.551218985121842,1.4157200717159162,80.0,51.67499887775497
11.0,5,16,7121.9504405492125,7.669193007193515,2.1389713580911396,80.0,32.78055371751784
11.5,2,2,8.005003574431315,3.0025017872156576,1.051284401884543,79.99999999999996,71.69869254350844
11.5,3,4,60.30361908720833,5.026996402003899,1.1627156276950743,79.99999999999996,64.19110710645191
11.5,4,8,580.991770141549,6.5566248958710345,1.4264612658633138,79.99999999999996,51.28536518735413
11.5,5,16,7096.61147027844,7.684866743208724,2.173669561419301,79.99999999999996,32.29460557306575
12.0,2,2,8.005209752735848,3.002604876367924,1.0523570433939475,79.99999999999997,71.57032320756082
12.0,3,4,60.31607496461427,5.028104264349332,1.1662729458717667,79.99999999999997,63.96215200029278
12.0,4,8,581.1921792150453,6.5618136282152255,1.4366315870544089,79.99999999999997,50.92253732569313
12.0,5,16,7072.5420786781615,7.699838948385393,2.2067478785428447,79.99999999999997,31.846034002937618
12.5,2,2,8.005407868031586,3.002703934015793,1.053368904927995,79.99999999999997,71.44976878360276
12.5,3,4,60.328040231271295,5.029168515913102,1.169634243730698,79.99999999999997,63.74758302853549
