frequency,block_index,n_blocks,n_levels,rho,sigma_hi,sigma_lo,lambda_spread,cond,amplification,growth
4,16,32,3,7.0,2.427924328448239,1.8181962627036001,1.2042887679039527,60.461992971846165,5.041084636899661,1.0
4,17,32,2,7.0,1.8181962627036001,1.3447242716902514,1.2139738824588733,5.342610776139807,1.6713053880699036,1.0
4,17,32,3,7.0,1.8181962627036001,1.3447242716902514,1.2139738824588733,60.502786708422605,5.0447141683816294,1.0
4,18,32,2,7.0,1.3447242716902514,0.9811262235528272,1.2246200380598145,5.343464554160549,1.6717322770802747,1.0
4,18,32,3,7.0,1.3447242716902514,0.9811262235528272,1.2246200380598145,60.549238601086806,5.048847471730791,1.0
4,19,32,2,7.0,0.9811262235528272,0.7052757203540041,1.2363772789059067,5.344441821330436,1.6722209106652182,1.0
4,19,32,3,7.0,0.9811262235528272,0.7052757203540041,1.2363772789059067,60.60244692590144,5.053582421984695,1.0
4,20,32,2,7.0,0.7052757203540041,0.49876495733427023,1.2494284952079893,5.34556758749369,1.672783793746845,1.0
4,20,32,3,7.0,0.7052757203540041,0.49876495733427023,1.2494284952079893,60.663790346998674,5.059041911034949,1.0
4,21,32,2,7.0,0.49876495733427023,0.34641482504805793,1.2639989011481192,5.346873528203902,1.6734367641019512,1.0
4,21,32,3,7.0,0.49876495733427023,0.34641482504805793,1.2639989011481192,60.73501855072672,5.065381946080891,1.0
4,22,32,2,7.0,0.34641482504805793,0.23583007817115964,1.2803689844459525,5.348400235361366,1.6742001176806829,1.0
4,22,32,3,7.0,0.34641482504805793,0.23583007817115964,1.2803689844459525,60.8183790550752,5.0728029862412605,1.0
4,23,32,2,7.0,0.23583007817115964,0.15699739477438232,1.2988925022250777,5.350200406683982,1.6751002033419908,1.0
4,23,32,3,7.0,0.23583007817115964,0.15699739477438232,1.2988925022250777,60.91679771959437,5.0815660894238395,1.0
4,24,32,2,7.0,0.15699739477438232,0.10192414985835767,1.3200219677150695,5.352343449604008,1.6761717248020038,1.0
4,24,32,3,7.0,0.15699739477438232,0.10192414985835767,1.3200219677150695,61.034140664493094,5.09201635738493,1.0
4,25,32,2,7.0,0.10192414985835767,0.06431572694445675,1.3443455207225232,5.35492226431004,1.67746113215502,1.0
4,25,32,3,7.0,0.10192414985835767,0.06431572694445675,1.3443455207225232,61.17560253204768,5.104617717851773,1.0
4,26,32,2,7.0,0.06431572694445675,0.039289191516732484,1.3726415616712357,5.358063469031087,1.6790317345155437,1.0
4,26,32,3,7.0,0.06431572694445675,0.039289191516732484,1.3726415616712357,61.348296052664566,5.1200057903441865,1.0
4,27,32,2,7.0,0.039289191516732484,0.02312115010983397,1.405961949424881,5.361943217676391,1.6809716088381954,1.0
4,27,32,3,7.0,0.039289191516732484,0.02312115010983397,1.405961949424881,61.562172048249366,5.139070475069692,1.0
4,28,32,2,7.0,0.02312115010983397,0.01302761883782127,1.4457627365230203,5.366812396706568,1.6834061983532842,1.0
4,28,32,3,7.0,0.02312115010983397,0.01302761883782127,1.4457627365230203,61.83150058826625,5.163089097475373,1.0
4,29,32,2,7.0,0.01302761883782127,0.006973725158819676,1.4941172294205298,5.3730381349215195,1.6865190674607597,1.0
4,29,32,3,7.0,0.01302761883782127,0.006973725158819676,1.4941172294205298,62.17734317477756,5.193949007585903,1.0
4,30,32,2,7.0,0.006973725158819676,0.0035110666704456605,1.5540784147266478,5.38117490183987,1.690587450919935,1.0
4,30,32,3,7.0,0.006973725158819676,0.0035110666704456605,1.5540784147266478,62.63185700009021,5.234535938004468,1.0
4,31,32,2,7.0,0.0035110666704456605,0.0,4.706480368435064,6.528155487930459,2.2640777439652293,1.0
4,31,32,3,7.0,0.0035110666704456605,0.0,4.706480368435064,99.92745429447318,8.982675819507943,1.0
8,0,16,2,7.0,80.0,56.22636065990345,1.3027315094282113,4.576312322284439,1.2881561611422194,1.0
8,0,16,3,7.0,80.0,56.22636065990345,1.3027315094282113,72.00093018096442,3.6818663951689015,1.0
8,0,16,4,7.0,80.0,56.22636065990345,1.3027315094282113,578.7761832265766,6.499486260367914,1.0
8,1,16,2,7.0,56.22636065990345,38.78497188103633,1.3211389717168223,4.576843067708679,1.2884215338543394,1.0
8,1,16,3,7.0,56.22636065990345,38.78497188103633,1.3211389717168223,72.0011429242456,3.6835189574923057,1.0
8,1,16,4,7.0,56.22636065990345,38.78497188103633,1.3211389717168223,579.0758050157556,6.507204894259819,1.0
8,2,16,2,7.0,38.78497188103633,26.202909999756614,1.3419150544618077,4.577465208062423,1.2887326040312117,1.0
8,2,16,3,7.0,38.78497188103633,26.202909999756614,1.3419150544618077,72.0014200546519,3.685456277157274,1.0
8,2,16,4,7.0,38.78497188103633,26.202909999756614,1.3419150544618077,579.4265037776778,6.516255604529764,1.0
8,3,16,2,7.0,26.202909999756614,17.295168538206728,1.3655453600041656,4.578200979581608,1.2891004897908038,1.0
8,3,16,3,7.0,26.202909999756614,17.295168538206728,1.3655453600041656,72.001786409918,3.687747698426541,1.0
8,3,16,4,7.0,26.202909999756614,17.295168538206728,1.3655453600041656,579.8405349055249,6.526963430425152,1.0
8,4,16,2,7.0,17.295168538206728,11.120201379674214,1.3926570864742125,4.579079809488628,1.2895399047443141,1.0
8,4,16,3,7.0,17.295168538206728,11.120201379674214,1.3926570864742125,72.00227874512453,3.6904850189139466,1.0
8,4,16,4,7.0,17.295168538206728,11.120201379674214,1.3926570864742125,580.3340442818014,6.539758917470099,1.0
8,5,16,2,7.0,11.120201379674214,6.940300090653309,1.4240743461516605,4.580141295050876,1.2900706475254382,1.0
8,5,16,3,7.0,11.120201379674214,6.940300090653309,1.4240743461516605,72.00295272910756,3.693791807232673,1.0
8,5,16,4,7.0,11.120201379674214,6.940300090653309,1.4240743461516605,580.9286413692669,6.55522202752974,1.0
8,6,16,2,7.0,6.940300090653309,4.1865268353594685,1.4609014350686662,4.581439726581996,1.290719863290998,1.0
8,6,16,3,7.0,6.940300090653309,4.1865268353594685,1.4609014350686662,72.00389491182136,3.6978375606549605,1.0
8,6,16,4,7.0,6.940300090653309,4.1865268353594685,1.4609014350686662,581.6537623039636,6.574148932228852,1.0
8,7,16,2,7.0,4.1865268353594685,2.427924328448239,1.50465192604121,4.5830511399839144,1.2915255699919572,1.0
8,7,16,3,7.0,4.1865268353594685,2.427924328448239,1.50465192604121,72.0052439075335,3.702859801952773,1.0
8,7,16,4,7.0,4.1865268353594685,2.427924328448239,1.50465192604121,582.5503071499679,6.59765639319117,1.0
8,8,16,2,7.0,2.427924328448239,1.3447242716902514,1.5574557293491442,4.585084651780624,1.2925423258903121,1.0
8,8,16,3,7.0,2.427924328448239,1.3447242716902514,1.5574557293491442,72.00722937934172,3.709199637533548,1.0
8,8,16,4,7.0,2.427924328448239,1.3447242716902514,1.5574557293491442,583.6763929732228,6.6273499665076026,1.0
8,9,16,2,7.0,1.3447242716902514,0.7052757203540041,1.6224046739239908,4.587701321542234,1.2938506607711169,1.0
8,9,16,3,7.0,1.3447242716902514,0.7052757203540041,1.6224046739239908,72.01024706163501,3.7173610229071525,1.0
8,9,16,4,7.0,1.3447242716902514,0.7052757203540041,1.6224046739239908,585.1167368109371,6.665604786443111,1.0
8,10,16,2,7.0,0.7052757203540041,0.34641482504805793,1.704157046531264,4.591146831352738,1.295573415676369,1.0
8,10,16,3,7.0,0.7052757203540041,0.34641482504805793,1.704157046531264,72.01501080695748,3.728113657309899,1.0
8,10,16,4,7.0,0.7052757203540041,0.34641482504805793,1.704157046531264,586.9984981105997,6.716053855202633,1.0
8,11,16,2,7.0,0.34641482504805793,0.15699739477438232,1.810056649040123,4.595810845184555,1.2979054225922777,1.0
8,11,16,3,7.0,0.34641482504805793,0.15699739477438232,1.810056649040123,72.02288003723845,3.7426804218446232,1.0
8,11,16,4,7.0,0.34641482504805793,0.15699739477438232,1.810056649040123,589.5190978607291,6.784478986448474,1.0
8,12,16,2,7.0,0.15699739477438232,0.06431572694445675,1.952352935652751,4.602341071874567,1.3011705359372834,1.0
8,12,16,3,7.0,0.15699739477438232,0.06431572694445675,1.952352935652751,72.0366178193687,3.763099032971915,1.0
8,12,16,4,7.0,0.15699739477438232,0.06431572694445675,1.952352935652751,592.9972887199729,6.880532130606383,1.0
8,13,16,2,7.0,0.06431572694445675,0.02312115010983397,2.1530062529861835,4.611877895604712,1.305938947802356,1.0
8,13,16,3,7.0,0.06431572694445675,0.02312115010983397,2.1530062529861835,72.06230636903467,3.7929705329606147,1.0
8,13,16,4,7.0,0.06431572694445675,0.02312115010983397,2.1530062529861835,597.9717213965728,7.021299278971123,1.0
8,14,16,2,7.0,0.02312115010983397,0.006973725158819676,2.4553308244794345,4.6265793978363305,1.3132896989181653,1.0
8,14,16,3,7.0,0.02312115010983397,0.006973725158819676,2.4553308244794345,72.11473996645557,3.839150450247254,1.0
8,14,16,4,7.0,0.02312115010983397,0.006973725158819676,2.4553308244794345,605.402038191852,7.239336649602066,1.0
8,15,16,2,7.0,0.006973725158819676,0.0,4.706480368435063,4.770112729109516,1.385056364554758,1.0
8,15,16,3,7.0,0.006973725158819676,0.0,4.706480368435063,85.34713072660495,4.777724021998507,1.0
