problem,is_linear,n_levels,frequency,reuse_mode,block_width,sigma_hi,sigma_lo,rms_error,nfe,nfe_overhead,max_cond,mean_amplification
bimodal_sep4_d1,False,2,2,denoised,0.2,2.0,1.8,0.00011620923724978564,2,0,8.005551702879947,3.0027758514399734
bimodal_sep4_d1,False,2,2,denoised,0.1,2.0,1.9,1.3163040181047313e-05,2,0,8.001315573132102,3.000657786566051
bimodal_sep4_d1,False,2,2,denoised,0.05,2.0,1.95,1.5688976244885034e-06,2,0,8.000320499980484,3.000160249990242
bimodal_sep4_d1,False,2,2,denoised,0.025,2.0,1.975,1.9157811838816884e-07,2,0,8.00007911314169,3.0000395565708446
bimodal_sep4_d1,False,2,2,derivative,0.8,2.0,1.2,0.014476659556133122,2,0,8.131182235954578,3.065591117977289
bimodal_sep4_d1,False,2,2,derivative,0.4,2.0,1.6,0.0011475296109134975,2,0,8.024922359499621,3.0124611797498106
bimodal_sep4_d1,False,2,2,derivative,0.2,2.0,1.8,0.00011620923724978564,2,0,8.005551702879947,3.0027758514399734
bimodal_sep4_d1,False,2,2,derivative,0.1,2.0,1.9,1.3163040181047313e-05,2,0,8.001315573132102,3.000657786566051
bimodal_sep4_d1,False,2,2,derivative,0.05,2.0,1.95,1.5688976244885034e-06,2,0,8.000320499980484,3.000160249990242
bimodal_sep4_d1,False,2,2,derivative,0.025,2.0,1.975,1.9157811838816884e-07,2,0,8.00007911314169,3.0000395565708446
bimodal_sep4_d1,False,2,2,exact,0.8,2.0,1.2,0.014476659556133122,2,0,8.131182235954578,3.065591117977289
bimodal_sep4_d1,False,2,2,exact,0.4,2.0,1.6,0.0011475296109134975,2,0,8.024922359499621,3.0124611797498106
bimodal_sep4_d1,False,2,2,exact,0.2,2.0,1.8,0.00011620923724978564,2,0,8.005551702879947,3.0027758514399734
bimodal_sep4_d1,False,2,2,exact,0.1,2.0,1.9,1.3163040181047313e-05,2,0,8.001315573132102,3.000657786566051
bimodal_sep4_d1,False,2,2,exact,0.05,2.0,1.95,1.5688976244885034e-06,2,0,8.000320499980484,3.000160249990242
bimodal_sep4_d1,False,2,2,exact,0.025,2.0,1.975,1.9157811838816884e-07,2,0,8.00007911314169,3.0000395565708446
bimodal_sep4_d1,False,3,4,denoised,0.8,2.0,1.2,0.006140441027512936,4,0,61.9830535347521,5.176611869654264
bimodal_sep4_d1,False,3,4,denoised,0.4,2.0,1.6,0.0005023721710390833,4,0,60.374388535761156,5.033291273029149
bimodal_sep4_d1,False,3,4,denoised,0.2,2.0,1.8,5.130156484292904e-05,4,0,60.08330299301174,5.007405320485764
bimodal_sep4_d1,False,3,4,denoised,0.1,2.0,1.9,5.816386033159335e-06,4,0,60.019735138408635,5.001754268779148
bimodal_sep4_d1,False,3,4,denoised,0.05,2.0,1.95,6.930386740495835e-07,4,0,60.0048075911924,5.0004273434723245
bimodal_sep4_d1,False,3,4,denoised,0.025,2.0,1.975,8.459841312194943e-08,4,0,60.00118670269969,5.000105484808291
bimodal_sep4_d1,False,3,4,derivative,0.8,2.0,1.2,0.0037716692762061223,4,0,61.9830535347521,5.176611869654264
bimodal_sep4_d1,False,3,4,derivative,0.4,2.0,1.6,0.0003106186457259992,4,0,60.374388535761156,5.033291273029149
bimodal_sep4_d1,False,3,4,derivative,0.2,2.0,1.8,3.37282177878684e-05,4,0,60.08330299301174,5.007405320485764
bimodal_sep4_d1,False,3,4,derivative,0.1,2.0,1.9,4.01166157525148e-06,4,0,60.019735138408635,5.001754268779148
bimodal_sep4_d1,False,3,4,derivative,0.05,2.0,1.95,4.912845207611941e-07,4,0,60.0048075911924,5.0004273434723245
bimodal_sep4_d1,False,3,4,derivative,0.025,2.0,1.975,6.0842261171643e-08,4,0,60.00118670269969,5.000105484808291
bimodal_sep4_d1,False,3,4,exact,0.8,2.0,1.2,0.001204687917649755,5,1,61.9830535347521,5.176611869654264
bimodal_sep4_d1,False,3,4,exact,0.4,2.0,1.6,4.0988186794870277e-05,5,1,60.374388535761156,5.033291273029149
bimodal_sep4_d1,False,3,4,exact,0.2,2.0,1.8,1.9623552069454357e-06,5,1,60.08330299301174,5.007405320485764
bimodal_sep4_d1,False,3,4,exact,0.1,2.0,1.9,1.0856013694567687e-07,5,1,60.019735138408635,5.001754268779148
bimodal_sep4_d1,False,3,4,exact,0.05,2.0,1.95,6.4014429204045574e-09,5,1,60.0048075911924,5.0004273434723245
bimodal_sep4_d1,False,3,4,exact,0.025,2.0,1.975,3.888786145255017e-10,5,1,60.00118670269969,5.000105484808291
bimodal_sep4_d1,False,4,8,denoised,0.8,2.0,1.2,0.003205616645194792,8,0,583.9101891862194,6.632057353424167
bimodal_sep4_d1,False,4,8,denoised,0.4,2.0,1.6,0.0002540531874479681,8,0,577.5226234631003,6.467279155072164
